NodeID: 0.0
 nr   logfactor           convergence         gas_u                       gas_res             pH                          chargebalance       Ar[g].logact                Ar[g].tot           CO2[g].logact               CO2[g].tot         
                                                                          0.0                                             0.0                                             1.00000000e-2                                   1.00000000e-1      

 136. 0.0                 12.986898681142177 -1.33881207e2             X  9.70283578e-1       7.00000000               X -5.74447787e-3      -13.6500000               X  2.23872114e-34     -1.52700349               X  6.75502679e-3      
 137. 0.0                 12.983701426362362 -1.34851491e2             X  9.63166627e-1       7.00000000               X -7.12025376e-3      -13.6400000               X  2.29086765e-34     -1.43375851               X  8.37282567e-3      
 138. 0.0                 12.979782735614936 -1.35814658e2             X  9.54514952e-1       7.00000000               X -8.79270692e-3      -13.6300000               X  2.34422882e-34     -1.34213134               X  1.03394925e-2      
 139. 0.0                 12.975011047736562 -1.36769173e2             X  9.44084892e-1       7.00000000               X -1.08089390e-2      -13.6200000               X  2.39883292e-34     -1.25247083               X  1.27104150e-2      
 140. 0.0                 12.96924690134968  -1.37713257e2             X  9.31637371e-1       7.00000000               X -1.32151659e-2      -13.6100000               X  2.45470892e-34     -1.16518125               X  1.55399392e-2      
 141. 0.0                 12.962351163240342 -1.38644895e2             X  9.16961630e-1       7.00000000               X -1.60521296e-2      -13.6000000               X  2.51188643e-34     -1.08072119               X  1.88759743e-2      
 142. 0.0                 12.954197726361162 -1.39561856e2             X  8.99907200e-1       7.00000000               X -1.93489170e-2      -13.5900000               X  2.57039578e-34     -9.99597160e-1            X  2.27527242e-2      
 143. 0.0                 12.944691045015473 -1.40461764e2             X  8.80422322e-1       7.00000000               X -2.31155336e-2      -13.5800000               X  2.63026799e-34     -9.22349884e-1            X  2.71819543e-2      
 144. 0.0                 12.933787795844768 -1.41342186e2             X  8.58593894e-1       7.00000000               X -2.73351811e-2      -13.5700000               X  2.69153480e-34     -8.49531838e-1            X  3.21439115e-2      
 145. 0.0                 12.921520234464065 -1.42200780e2             X  8.34680436e-1       7.00000000               X -3.19578854e-2      -13.5600000               X  2.75422870e-34     -7.81675750e-1            X  3.75798301e-2      
 146. 0.0                 12.908016712269976 -1.43035460e2             X  8.09127035e-1       7.00000000               X -3.68976067e-2      -13.5500000               X  2.81838293e-34     -7.19255580e-1            X  4.33885345e-2      
 147. 0.0                 12.893513075714248 -1.43844587e2             X  7.82551766e-1       7.00000000               X -4.20348650e-2      -13.5400000               X  2.88403150e-34     -6.62644115e-1            X  4.94295262e-2      
