NodeID: 0
 nr   logfactor           convergence         logI                        I.eq                pH                          chargebalance       Cl-.logact                  Cl-.tot             Na+.logact                  Na+.tot             SO3-2.logact                SO3-2.tot          
                                                                          0.0                                             0.0                                             9.99999978e-3                                   5.00000000e-1                                   9.99999968e-21     
 300  -4.96917            14.6456             1.07688702               X -9.97963945e-1      -5.50000000               X  1.17253978e4       -30.7203117               X  7.06016989e-33     -2.68555479e-1            X  1.99788906e-2      -18.6854800               X  44.2148892         
 300  -1.64557            14.074              1.09945778               X -9.97879197e-1      -5.60000000               X  1.18573468e4       -30.7200855               X  5.67415757e-33     -2.57698930e-1            X  1.64546250e-2      -19.6854800               X  7.00758769         
 300  -0.845569           13.4412             1.24185760               X -9.87360594e-1      -5.70000000               X  2.76160092e3       -30.7186585               X  1.05317819e-33     -1.88695815e-1            X  3.56832614e-3      -20.6854800               X  1.11062780         
 300  -4.44116            13.5409             1.24189335               X -9.89954325e-1      -5.80000000               X  3.47491534e3       -30.7186581               X  1.05265399e-33     -1.88677839e-1            X  3.56669476e-3      -20.6855202               X  1.76006345         
 300  -4.54094            13.6408             1.24192184               X -9.92016740e-1      -5.90000000               X  4.37292023e3       -30.7186579               X  1.05223647e-33     -1.88663553e-1            X  3.56539498e-3      -20.6855709               X  2.78918727         
 300  -4.64077            13.7406             1.24194453               X -9.93656332e-1      -6.00000000               X  5.50343761e3       -30.7186576               X  1.05190409e-33     -1.88652200e-1            X  3.56436003e-3      -20.6856347               X  4.41991473         
 300  -4.74063            13.8453             1.24196258               X -9.94959565e-1      -6.10000000               X  6.92667164e3       -30.7186574               X  1.05163961e-33     -1.88643180e-1            X  3.56353638e-3      -20.6857150               X  7.00379746         
 300  -4.84052            14.0452             1.24197695               X -9.95995305e-1      -6.20000000               X  8.71841473e3       -30.7186573               X  1.05142924e-33     -1.88636013e-1            X  3.56288114e-3      -20.6858161               X  11.0976868         
 300  -4.94044            14.2451             1.24198837               X -9.96818367e-1      -6.30000000               X  1.09740837e4       -30.7186572               X  1.05126195e-33     -1.88630319e-1            X  3.56236003e-3      -20.6859434               X  17.5834939         
 300  -1.24511            13.773              1.29867894               X -9.93290070e-1      -6.40000000               X  5.92912977e3       -30.7180885               X  4.51754376e-34     -1.60397156e-1            X  1.63152480e-3      -21.6859434               X  2.78679598         
 300  -4.77299            13.8729             1.29869570               X -9.94668484e-1      -6.50000000               X  7.46233934e3       -30.7180883               X  4.51633970e-34     -1.60388751e-1            X  1.63112088e-3      -21.6859904               X  4.41629599         
 300  -4.87287            13.9728             1.29870903               X -9.95763997e-1      -6.60000000               X  9.39253294e3       -30.7180882               X  4.51538189e-34     -1.60382072e-1            X  1.63079954e-3      -21.6860496               X  6.99840372         
 300  -4.97278            14.0727             1.29871963               X -9.96634572e-1      -6.70000000               X  1.18225004e4       -30.7180881               X  4.51462019e-34     -1.60376766e-1            X  1.63054396e-3      -21.6861241               X  11.0898196         
 300  -1.04492            13.4806             1.38858895               X -9.83816863e-1      -6.80000000               X  3.02382204e3       -30.7171863               X  9.19114980e-35     -1.15437401e-1            X  3.67382761e-4      -22.6861241               X  1.75761796         
 300  -4.48056            13.5803             1.38862149               X -9.87136088e-1      -6.90000000               X  3.80433205e3       -30.7171860               X  9.18527947e-35     -1.15420878e-1            X  3.67161806e-4      -22.6861822               X  2.78526394         
 300  -4.58028            13.6801             1.38864743               X -9.89776006e-1      -7.00000000               X  4.78692741e3       -30.7171857               X  9.18060013e-35     -1.15407744e-1            X  3.66985634e-4      -22.6862554               X  4.41360175         
 300  -4.68006            13.8447             1.38866811               X -9.91875104e-1      -7.10000000               X  6.02393488e3       -30.7171855               X  9.17687284e-35     -1.15397307e-1            X  3.66845280e-4      -22.6863476               X  6.99360246         
 300  -4.77988            14.0446             1.38868458               X -9.93543831e-1      -7.20000000               X  7.58122962e3       -30.7171854               X  9.17390561e-35     -1.15389013e-1            X  3.66733528e-4      -22.6864637               X  11.0811503         
 300  -4.87974            14.2444             1.38869768               X -9.94870206e-1      -7.30000000               X  9.54174324e3       -30.7171852               X  9.17154453e-35     -1.15382422e-1            X  3.66644595e-4      -22.6866099               X  17.5565299         
 300  -4.97963            14.4443             1.38870811               X -9.95924326e-1      -7.40000000               X  1.20098802e4       -30.7171851               X  9.16966645e-35     -1.15377186e-1            X  3.66573847e-4      -22.6867939               X  27.8134385         
 300  -1.44425            13.8606             1.42451541               X -9.92672743e-1      -7.50000000               X  7.25444105e3       -30.7168256               X  4.40330084e-35     -9.74134444e-2            X  1.83311833e-4      -23.6867939               X  4.40813293         
 300  -4.8606             13.9605             1.42452910               X -9.94177866e-1      -7.60000000               X  9.13012906e3       -30.7168254               X  4.40201440e-35     -9.74065546e-2            X  1.83261127e-4      -23.6868546               X  6.98544243         
 300  -4.96048            14.0604             1.42453999               X -9.95374122e-1      -7.70000000               X  1.14914762e4       -30.7168253               X  4.40099093e-35     -9.74010802e-2            X  1.83220782e-4      -23.6869311               X  11.0692299         
 300  -1.04412            13.2441             1.51446260               X -9.61651832e-1      -7.80000000               X  1.70509262e3       -30.7159219               X  5.19787742e-36     -5.22473719e-2            X  2.39607604e-5      -24.6869311               X  1.75435471         
 300  -4.23175            13.444              1.51451900               X -9.69489699e-1      -7.90000000               X  2.14339644e3       -30.7159213               X  5.19016485e-36     -5.22180494e-2            X  2.39267907e-5      -24.6870340               X  2.77980620         
 300  -4.3311             13.6439             1.51456423               X -9.75733371e-1      -8.00000000               X  2.69516143e3       -30.7159209               X  5.18398692e-36     -5.21947230e-2            X  2.38995683e-5      -24.6871637               X  4.40438046         
 300  -4.43058            13.8437             1.51460044               X -9.80704321e-1      -8.10000000               X  3.38977100e3       -30.7159205               X  5.17904692e-36     -5.21761722e-2            X  2.38777931e-5      -24.6873271               X  6.97784646         
 300  -4.53017            14.0435             1.51462937               X -9.84660182e-1      -8.20000000               X  4.26421559e3       -30.7159202               X  5.17510225e-36     -5.21614226e-2            X  2.38604005e-5      -24.6875330               X  11.0539007         
 300  -4.62984            14.2433             1.51465246               X -9.87807082e-1      -8.30000000               X  5.36506253e3       -30.7159200               X  5.17195581e-36     -5.21496977e-2            X  2.38465243e-5      -24.6877922               X  17.5087981         
 300  -4.72957            14.4429             1.51467087               X -9.90309708e-1      -8.40000000               X  6.75093593e3       -30.7159198               X  5.16944823e-36     -5.21403786e-2            X  2.38354638e-5      -24.6881186               X  27.7287304         
